,cid,cname,uname,desc,type,link,platform,upvoteCount,price,prereq
0,0,Python for Everybody Specialization,Developer,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language.",Python,https://www.coursera.org/specializations/python,Coursera,6,0,None
1,1,Programming for Everybody (Getting Started with Python),Developer,This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. ,Python,https://www.coursera.org/learn/python,Coursera,2,0,None
2,2,Python Data Structures,Developer,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples.",Python,https://www.coursera.org/learn/python-data,Coursera,12,0,None
3,3,Applied Data Science with Python Specialization,Developer,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.",Python,https://www.coursera.org/specializations/data-science-python,Coursera,13,0,None
4,4,Introduction to Data Science in Python,Developer,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. ",Python,https://www.coursera.org/learn/python-data-analysis,Coursera,9,0,None
5,5,Python 3 Programming Specialization,Developer,,Python,https://www.coursera.org/specializations/python-3-programming,Coursera,16,0,None
6,6,Using Python to Access Web Data,Developer,,Python,https://www.coursera.org/learn/python-network-data,Coursera,15,0,None
7,7,Python for Data Science,Developer,,Python,https://www.coursera.org/learn/python-for-applied-data-science,Coursera,11,0,None
8,8,Machine Learning with Python,Developer,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python. ",Machine Learning,https://www.coursera.org/learn/machine-learning-with-python,Coursera,14,0,None
9,9,Using Databases with Python,Developer,,Python,https://www.coursera.org/learn/python-databases,Coursera,15,0,None
10,10,Build Native Mobile Apps with Flutter,Developer,"This course will introduce students to the basics of the Structured Query Language (SQL) as well as basic database design for storing data as part of a multi-step data gathering, analysis, and processing effort. The course will use SQLite3 as its database. ",Flutter,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,Udacity,17,0,None
11,11,Flutter by Google,Developer,,Flutter,https://www.youtube.com/watch?v=fq4N0hgOWzU&list=PLOU2XLYxmsIJ7dsVN4iRuA7BT8XHzGtCr,Youtube,12,1,None
12,12,Flutter tutorial for beginners using dart,Developer,,Flutter,https://www.youtube.com/playlist?list=PLlxmoA0rQ-Lw6tAs2fGFuXGP13-dWdKsB,Youtube,8,1,None
13,13,Flutter tutorials,Developer,,Flutter,https://www.youtube.com/watch?v=b2fgMCeSNpY&list=PLJbE2Yu2zumDqr_-hqpAN0nIr6m14TAsd,Youtube,12,1,None
14,14,C++ Nanodegree,Developer,"Learn C++, a high-performance programming language used in the world's most exciting engineering jobs -- from self-driving cars and robotics, to web browsers, media platforms, servers, and even video games",C++,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,Udacity,13,0,None
15,15,C++ For C Programmers,Developer,This course is for experienced C programmers who want to program in C++. The examples and exercises require a basic understanding of algorithms and object-oriented software.,C++,https://www.coursera.org/learn/c-plus-plus-a,Udacity,12,0,None
16,16,Intro to HTML and CSS,Developer,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.",Web Development,https://www.udacity.com/course/intro-to-html-and-css--ud001,Udacity,18,0,None
17,17,Intro to JavaScript,Developer,"Learn the fundamentals of JavaScript, the most popular programming language in web development.",Web Development,https://www.udacity.com/course/intro-to-javascript--ud803,Udacity,14,0,None
18,18,Ruby on Rails Web Development Specialization,Developer,"This Specialization covers the fundamentals of web development with Ruby on Rails. You’ll learn everything you need to develop your own web application using Ruby on Rails, SQL and NoSQL databases, and HTML/CSS, and Javascript.",Web Development,https://www.coursera.org/specializations/ruby-on-rails,Coursera,16,0,None
19,19,Web Development In 2019 - A Practical Guide,Developer,,Web Development,https://www.youtube.com/watch?v=UnTQVlqmDQ0,Youtube,15,1,None
