,rid,uname,cid,review
0,0,User0,67,No practical knowledge learnd and no clear examples of the topics. Too complex all the course
1,1,User1,40,I thought this was a great high-level intro to the world of 3D printing.
2,2,User2,58,Very boring
3,3,User3,43,"Excellent course, professor Bushee always delivers such great explanations."
4,4,User4,45,"I personally think that I've learnt more from Google and YouTube then in this course. You can join the course for certification. Other then the certificate, I find this course not much of value."
5,5,User5,98,A well-presented and thorough introduction to the fundamental tools available in Ableton Live.
6,6,User6,87,"A little tough sometimes, but very instructive"
7,7,User7,88,It provides not only a good overview about 3D Printing but stimulates people who attend it to look for more. Great course to start the journe
8,8,User8,78,"Rather robust material with strong focus on ""deceptive"" practice detection. A lot of ratio analyses, each with its own moniker which I found tedious. Informative and confirmed that I don't have the ""accountant gene""."
9,9,User9,24,"It's mostly very basic stuff, but even then it introduced me to concepts I wasn't aware of."
10,10,User10,35,"I loved the Accounting part of the course. It was quite hard for me (non-accounting person), however I really enjoyed the form of the lectures and the content itself (the earnings management + its revealing). Great materials Professor Bushee!"
11,11,User11,38,Good place to start if you don't know anything about 3D printing.
12,12,User12,38,Loving this course
13,13,User13,36,If only it was a week longer.
14,14,User14,26,"Good as a introduction, but there was only a few people on blend so it was hard to earn their votes, hope there will apear some intermediate or advanced courses."
15,15,User15,90,Very practical and complementary for other accounting courses.
16,16,User16,40,i love professor Brian J Bushee!!
17,17,User17,44,the Best cour and the Best sitetanks
18,18,User18,92,I like the course. Pretty concise and straight forward. Highly recommended.
19,19,User19,36,Very good inspirational examples.
20,20,User20,73,"I personally think that I've learnt more from Google and YouTube then in this course. You can join the course for certification. Other then the certificate, I find this course not much of value."
21,21,User21,69,Very good course but videos sometimes too long
22,22,User22,50,This course is a challenging into to Ableton Live. It is well worth the time for even experienced producers who are new to Ableton Live. I first got Ableton Live in November 2015. It is now January 2016 and I feel like I have come a long way thanks to this course.
23,23,User23,44,Great course to start working your way around all the incredible tools Ableton offers.
24,24,User24,18,"Great content, the videos and talks are very motivating and they give an exciting overview of the subject. Thanks for the great work."
25,25,User25,5,Excellent introduction to 3D printing.
26,26,User26,91,Excellent course. I completely enjoyed it. Thank you Vishal and team.
